,epochs,batch,lr,optimizer,criterion,loss
0,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.24858710169792175
1,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.6020814776420593
2,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.4595417380332947
3,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.49946415424346924
4,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.47628793120384216
5,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.39407724142074585
6,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.8331894278526306
7,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.40731528401374817
8,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.6430416107177734
9,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.4130989909172058
10,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.7130401730537415
11,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.7295151352882385
12,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.4555487334728241
13,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.5532593131065369
14,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.3824753761291504
15,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.6277997493743896
16,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.702066957950592
17,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.5315895676612854
18,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.5881646871566772
19,20,128,0.01,Adam,BCEWithLogitsLoss(),-0.668297290802002
20,20,512,0.001,Adam,BCEWithLogitsLoss(),1.1920499801635742
21,20,512,0.001,Adam,BCEWithLogitsLoss(),1.1990368366241455
22,20,512,0.001,Adam,BCEWithLogitsLoss(),1.1841061115264893
23,20,512,0.001,Adam,BCEWithLogitsLoss(),1.1718759536743164
24,20,512,0.001,Adam,BCEWithLogitsLoss(),1.183618426322937
25,20,512,0.001,Adam,BCEWithLogitsLoss(),1.1777786016464233
26,20,512,0.001,Adam,BCEWithLogitsLoss(),1.1695446968078613
27,20,512,0.001,Adam,BCEWithLogitsLoss(),1.1943647861480713
28,20,512,0.001,Adam,BCEWithLogitsLoss(),1.1875189542770386
29,20,512,0.001,Adam,BCEWithLogitsLoss(),1.172828197479248
30,20,512,0.001,Adam,BCEWithLogitsLoss(),1.201287865638733
31,20,512,0.001,Adam,BCEWithLogitsLoss(),1.1758983135223389
32,20,512,0.001,Adam,BCEWithLogitsLoss(),1.181113362312317
33,20,512,0.001,Adam,BCEWithLogitsLoss(),1.2164007425308228
34,20,512,0.001,Adam,BCEWithLogitsLoss(),1.1921544075012207
35,20,512,0.001,Adam,BCEWithLogitsLoss(),1.1739513874053955
36,20,512,0.001,Adam,BCEWithLogitsLoss(),1.2097430229187012
37,20,512,0.001,Adam,BCEWithLogitsLoss(),1.1997106075286865
38,20,512,0.001,Adam,BCEWithLogitsLoss(),1.184537410736084
39,20,512,0.001,Adam,BCEWithLogitsLoss(),1.223842978477478
40,10,512,0.01,SGD,CrossEntropyLoss(),-0.0
41,10,512,0.01,SGD,CrossEntropyLoss(),-0.0
42,10,512,0.01,SGD,CrossEntropyLoss(),-0.0
43,10,512,0.01,SGD,CrossEntropyLoss(),-0.0
44,10,512,0.01,SGD,CrossEntropyLoss(),-0.0
45,10,512,0.01,SGD,CrossEntropyLoss(),-0.0
46,10,512,0.01,SGD,CrossEntropyLoss(),-0.0
47,10,512,0.01,SGD,CrossEntropyLoss(),-0.0
48,10,512,0.01,SGD,CrossEntropyLoss(),-0.0
49,10,512,0.01,SGD,CrossEntropyLoss(),-0.0
50,10,512,0.001,SGD,BCEWithLogitsLoss(),2.058222770690918
51,10,512,0.001,SGD,BCEWithLogitsLoss(),2.0765228271484375
52,10,512,0.001,SGD,BCEWithLogitsLoss(),2.1163618564605713
53,10,512,0.001,SGD,BCEWithLogitsLoss(),2.0772311687469482
54,10,512,0.001,SGD,BCEWithLogitsLoss(),2.103926420211792
55,10,512,0.001,SGD,BCEWithLogitsLoss(),2.034564971923828
56,10,512,0.001,SGD,BCEWithLogitsLoss(),2.01413631439209
57,10,512,0.001,SGD,BCEWithLogitsLoss(),2.107410192489624
58,10,512,0.001,SGD,BCEWithLogitsLoss(),2.0926589965820312
59,10,512,0.001,SGD,BCEWithLogitsLoss(),2.0858101844787598
